URL;Title;H1;Description;Products Quantity;Prod Quantity over 40;Status code
https://kasta.ua/market/aksessuary-dlya-vannoy/color/pinkcolor/;Купити АКСЕСУАРИ ДЛЯ ВАННОЇ кімнати в інтернет-магазині Kasta ᐈ Доставка по Києву, Харкову, Одесі та Україні;Аксесуари та набори для ванної кімнати;Красиві АКСЕСУАРИ для ванних кімнат в каталозі Kasta ➤ Легке повернення ➤ Постійні АКЦІЇ і ЗНИЖКИ ➤ Власні центри видачі товару по Україні: Київ, Харків, Дніпро, Львів, Одеса;48;False;200
https://kasta.ua/market/aksessuary-dlya-vannoy/color/blackcolor/;Купити АКСЕСУАРИ ДЛЯ ВАННОЇ кімнати в інтернет-магазині Kasta ᐈ Доставка по Києву, Харкову, Одесі та Україні;Аксесуари та набори для ванної кімнати;Красиві АКСЕСУАРИ для ванних кімнат в каталозі Kasta ➤ Легке повернення ➤ Постійні АКЦІЇ і ЗНИЖКИ ➤ Власні центри видачі товару по Україні: Київ, Харків, Дніпро, Львів, Одеса;48;False;200
https://kasta.ua/market/aksessuary-dlya-vannoy/color/cyancolor/;Купити АКСЕСУАРИ ДЛЯ ВАННОЇ кімнати в інтернет-магазині Kasta ᐈ Доставка по Києву, Харкову, Одесі та Україні;Аксесуари та набори для ванної кімнати;Красиві АКСЕСУАРИ для ванних кімнат в каталозі Kasta ➤ Легке повернення ➤ Постійні АКЦІЇ і ЗНИЖКИ ➤ Власні центри видачі товару по Україні: Київ, Харків, Дніпро, Львів, Одеса;24;False;200
https://kasta.ua/market/aksessuary-dlya-vannoy/color/transparent/;Купити АКСЕСУАРИ ДЛЯ ВАННОЇ кімнати в інтернет-магазині Kasta ᐈ Доставка по Києву, Харкову, Одесі та Україні;Аксесуари та набори для ванної кімнати;Красиві АКСЕСУАРИ для ванних кімнат в каталозі Kasta ➤ Легке повернення ➤ Постійні АКЦІЇ і ЗНИЖКИ ➤ Власні центри видачі товару по Україні: Київ, Харків, Дніпро, Львів, Одеса;24;False;200
https://kasta.ua/market/aksessuary-dlya-vannoy/color/turquoisecolor/;Купити АКСЕСУАРИ ДЛЯ ВАННОЇ кімнати в інтернет-магазині Kasta ᐈ Доставка по Києву, Харкову, Одесі та Україні;Аксесуари та набори для ванної кімнати;Красиві АКСЕСУАРИ для ванних кімнат в каталозі Kasta ➤ Легке повернення ➤ Постійні АКЦІЇ і ЗНИЖКИ ➤ Власні центри видачі товару по Україні: Київ, Харків, Дніпро, Львів, Одеса;24;False;200
https://kasta.ua/market/aksessuary-dlya-vannoy/color/yellowcolor/;Купити АКСЕСУАРИ ДЛЯ ВАННОЇ кімнати в інтернет-магазині Kasta ᐈ Доставка по Києву, Харкову, Одесі та Україні;Аксесуари та набори для ванної кімнати;Красиві АКСЕСУАРИ для ванних кімнат в каталозі Kasta ➤ Легке повернення ➤ Постійні АКЦІЇ і ЗНИЖКИ ➤ Власні центри видачі товару по Україні: Київ, Харків, Дніпро, Львів, Одеса;24;False;200
https://kasta.ua/market/aksessuary-dlya-vannoy/color/greencolor/;Купити АКСЕСУАРИ ДЛЯ ВАННОЇ кімнати в інтернет-магазині Kasta ᐈ Доставка по Києву, Харкову, Одесі та Україні;Аксесуари та набори для ванної кімнати;Красиві АКСЕСУАРИ для ванних кімнат в каталозі Kasta ➤ Легке повернення ➤ Постійні АКЦІЇ і ЗНИЖКИ ➤ Власні центри видачі товару по Україні: Київ, Харків, Дніпро, Львів, Одеса;24;False;200
https://kasta.ua/market/aksessuary-dlya-vannoy/color/bluecolor/;Купити АКСЕСУАРИ ДЛЯ ВАННОЇ кімнати в інтернет-магазині Kasta ᐈ Доставка по Києву, Харкову, Одесі та Україні;Аксесуари та набори для ванної кімнати;Красиві АКСЕСУАРИ для ванних кімнат в каталозі Kasta ➤ Легке повернення ➤ Постійні АКЦІЇ і ЗНИЖКИ ➤ Власні центри видачі товару по Україні: Київ, Харків, Дніпро, Львів, Одеса;24;False;200
https://kasta.ua/market/aksessuary-dlya-vannoy/color/redcolor/;Купити АКСЕСУАРИ ДЛЯ ВАННОЇ кімнати в інтернет-магазині Kasta ᐈ Доставка по Києву, Харкову, Одесі та Україні;Аксесуари та набори для ванної кімнати;Красиві АКСЕСУАРИ для ванних кімнат в каталозі Kasta ➤ Легке повернення ➤ Постійні АКЦІЇ і ЗНИЖКИ ➤ Власні центри видачі товару по Україні: Київ, Харків, Дніпро, Львів, Одеса;24;False;200
https://kasta.ua/market/aksessuary-dlya-vannoy/color/limecolor/;Купити АКСЕСУАРИ ДЛЯ ВАННОЇ кімнати в інтернет-магазині Kasta ᐈ Доставка по Києву, Харкову, Одесі та Україні;Аксесуари та набори для ванної кімнати;Красиві АКСЕСУАРИ для ванних кімнат в каталозі Kasta ➤ Легке повернення ➤ Постійні АКЦІЇ і ЗНИЖКИ ➤ Власні центри видачі товару по Україні: Київ, Харків, Дніпро, Львів, Одеса;24;False;200
